"distance"	"TGL48_0001_Ct_T_PE_312_WG"	"TGL48_0001_Ct_T_PE_321_WG"	"TGL48_0001_Ct_T_PE_324_WG"	"TGL48_0001_Ct_T_PE_326_WG"	"TGL48_0001_Ct_T_PE_327_WG"	"TGL48_0002_Ct_T_PE_316_WG"	"TGL48_0002_Ct_T_PE_317_WG"	"TGL48_0002_Ct_T_PE_321_WG"	"TGL48_0002_Ct_T_PE_322_WG"	"TGL48_0002_Ct_T_PE_333_WG"	"TGL48_0003_Ct_T_PE_309_WG"	"TGL48_0003_Ct_T_PE_314_WG"	"TGL48_0003_Ct_T_PE_326_WG"	"TGL48_0003_Ct_T_PE_328_WG"	"TGL48_0004_Ct_T_PE_317_WG"	"TGL48_0004_Ct_T_PE_324_WG"	"TGL48_0004_Ct_T_PE_327_WG"	"TGL48_0004_Ct_T_PE_334_WG"	"TGL48_0005_Ct_T_PE_322_WG"	"TGL48_0005_Ct_T_PE_323_WG"	"TGL48_0005_Ct_T_PE_327_WG"	"TGL48_0005_Ct_T_PE_330_WG"	"TGL48_0006_Ct_T_PE_317_WG"	"TGL48_0006_Ct_T_PE_327_WG"	"TGL48_0006_Ct_T_PE_331_WG"	"TGL48_0006_Ct_T_PE_332_WG"	"TGL48_0006_Ct_T_PE_333_WG"	"TGL48_0007_Ct_T_PE_320_WG"	"TGL48_0007_Ct_T_PE_321_WG"	"TGL48_0007_Ct_T_PE_324_WG"	"TGL48_0007_Ct_T_PE_328_WG"	"TGL48_0008_Ct_T_PE_321_WG"	"TGL48_0009_Ct_T_PE_320_WG"	"TGL48_0009_Ct_T_PE_327_WG"	"TGL48_0009_Ct_T_PE_328_WG"	"TGL48_0009_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_328_WG"	"TGL48_0010_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_330_WG"	"TGL48_0010_Ct_T_PE_333_WG"	"TGL48_0010_Ct_T_PE_335_WG"	"TGL48_0011_Ct_T_PE_315_WG"	"TGL48_0011_Ct_T_PE_319_WG"	"TGL48_0011_Ct_T_PE_322_WG"	"TGL48_0011_Ct_T_PE_324_WG"	"TGL48_0011_Ct_T_PE_325_WG"
165	0.94462	0.91536	0.91609	0.8991	0.93898	0.93472	0.93302	0.91407	0.92301	0.96162	0.90167	0.93273	0.88812	0.88237	0.91132	0.91748	0.91644	0.90591	0.89081	0.91785	0.88544	0.87518	0.99889	0.91897	0.88528	0.90007	0.8951	0.92812	0.93412	0.96421	0.87264	0.90444	0.95324	0.88844	0.87072	0.85927	0.91365	0.94149	0.88364	0.92055	0.89935	0.94117	0.90846	0.93145	0.92767	0.9152
180	0.92646	0.89055	0.88459	0.8634	0.90526	0.91605	0.89769	0.88925	0.89999	0.92916	0.86721	0.89618	0.85684	0.85075	0.88277	0.89393	0.89071	0.88466	0.86984	0.88392	0.85286	0.84967	0.96326	0.88396	0.86334	0.86683	0.86423	0.89532	0.91122	0.93183	0.84782	0.87747	0.93111	0.86781	0.85136	0.83184	0.89041	0.90867	0.84938	0.89896	0.8842	0.91264	0.88408	0.88694	0.89796	0.89339
195	0.89311	0.86299	0.85588	0.82718	0.88813	0.87963	0.86307	0.86307	0.86788	0.89692	0.83408	0.86093	0.82362	0.8229	0.85473	0.85334	0.86123	0.85404	0.85338	0.84284	0.80931	0.82156	0.91669	0.84257	0.83921	0.83704	0.83256	0.85903	0.87672	0.89184	0.82737	0.8393	0.89175	0.846	0.82465	0.79653	0.857	0.86312	0.81969	0.86593	0.85866	0.87371	0.86229	0.8526	0.86931	0.86358
210	0.868	0.84496	0.82422	0.8032	0.84942	0.86379	0.84305	0.84266	0.84409	0.86506	0.81201	0.85147	0.79057	0.80917	0.84166	0.82524	0.82433	0.83605	0.83467	0.82704	0.79049	0.80465	0.88535	0.82493	0.82657	0.81434	0.81783	0.83742	0.84865	0.86325	0.8034	0.81031	0.86349	0.83152	0.80516	0.78846	0.83071	0.83718	0.8067	0.83548	0.82276	0.8321	0.84735	0.825	0.84823	0.84975
225	0.86709	0.83938	0.80101	0.80962	0.8445	0.8511	0.84307	0.84249	0.84103	0.85207	0.81102	0.84142	0.77735	0.79432	0.83318	0.81507	0.81279	0.82313	0.835	0.82028	0.78804	0.80431	0.86784	0.82148	0.82408	0.81684	0.82623	0.83496	0.84029	0.85366	0.8019	0.7968	0.85183	0.82866	0.79744	0.79117	0.82575	0.82475	0.80769	0.83484	0.82499	0.82515	0.83651	0.8049	0.83409	0.84763
240	0.86938	0.85672	0.79835	0.82958	0.85767	0.8574	0.8553	0.84777	0.85314	0.85496	0.82419	0.84388	0.79161	0.80464	0.84383	0.82374	0.81717	0.83703	0.84725	0.82162	0.79995	0.80639	0.87338	0.83469	0.83986	0.83034	0.84049	0.85293	0.85332	0.86177	0.8175	0.80306	0.85444	0.84589	0.80514	0.79697	0.83928	0.82996	0.833	0.84619	0.81755	0.83406	0.85216	0.82199	0.851	0.85926
255	0.884	0.87733	0.82685	0.84911	0.88064	0.86829	0.87884	0.87464	0.88022	0.87106	0.8477	0.86702	0.8196	0.83842	0.85782	0.84452	0.84013	0.85217	0.8678	0.84688	0.82421	0.82615	0.88625	0.85756	0.85759	0.86181	0.85857	0.88571	0.86493	0.88723	0.84288	0.8239	0.87509	0.87134	0.83185	0.82322	0.85876	0.85195	0.85884	0.87526	0.82982	0.86371	0.87728	0.83272	0.86561	0.87394
270	0.90357	0.89435	0.86538	0.86056	0.89779	0.89721	0.91038	0.89024	0.91002	0.90106	0.87729	0.89215	0.85637	0.87267	0.88101	0.87707	0.86891	0.86715	0.89424	0.87995	0.86237	0.84436	0.92021	0.89138	0.88652	0.88284	0.89042	0.91661	0.88874	0.91769	0.8732	0.85752	0.904	0.90589	0.84894	0.84488	0.89032	0.86934	0.88331	0.90161	0.8578	0.88318	0.89002	0.84494	0.88631	0.9037
285	0.91789	0.92006	0.90166	0.88787	0.92866	0.92875	0.9377	0.91712	0.94223	0.93125	0.90006	0.91642	0.89276	0.89718	0.89208	0.91245	0.90075	0.88995	0.91716	0.91088	0.89069	0.87854	0.95909	0.91683	0.90962	0.90562	0.90347	0.94233	0.90636	0.93609	0.90716	0.88165	0.93398	0.92463	0.86245	0.87739	0.91552	0.89598	0.91171	0.92703	0.88866	0.90832	0.91466	0.8782	0.9143	0.92312
300	0.933	0.9305	0.91205	0.91665	0.9455	0.95287	0.95513	0.93394	0.95723	0.94597	0.91247	0.93452	0.90715	0.90877	0.90096	0.9289	0.91566	0.90666	0.9224	0.92589	0.90548	0.90183	0.9822	0.92594	0.92875	0.92896	0.90595	0.9581	0.92184	0.9558	0.92668	0.90691	0.96116	0.93238	0.87951	0.88571	0.93795	0.92201	0.9353	0.94593	0.91592	0.93438	0.92615	0.9058	0.94142	0.94449
315	0.93677	0.93874	0.92449	0.9091	0.95408	0.97539	0.95074	0.94158	0.95434	0.9548	0.91316	0.93601	0.91712	0.91444	0.89997	0.92947	0.91986	0.91417	0.92471	0.93651	0.90873	0.89933	0.99415	0.92683	0.94369	0.9385	0.89868	0.95273	0.92495	0.95575	0.92564	0.92395	0.96857	0.9278	0.88324	0.89838	0.94071	0.92611	0.94971	0.94746	0.93048	0.93549	0.93356	0.9139	0.94628	0.93753
